Wall time,Step,Value
1730813612.9793606,785,-195.75
1730813618.5961025,1733,-228.75
1730813622.42949,2374,-197.4166717529297
1730813626.185007,3007,-183.4375
1730813631.5993073,3913,-194.75
1730813636.3539915,4711,-194.0
1730813640.9164274,5478,-189.2857208251953
1730813643.9521902,5982,-172.5
1730813648.4148602,6724,-172.36111450195312
1730813653.759155,7618,-177.4250030517578
1730813660.4332442,8731,-188.59091186523438
1730813662.8426871,9127,-174.5833282470703
1730813667.0722682,9831,-173.88461303710938
1730813673.0442946,10734,-176.30357360839844
1730813678.749169,11685,-178.78334045410156
1730813682.9206448,12385,-175.21875
1730813686.1353753,12924,-169.85293579101562
1730813687.082895,13083,-157.2916717529297
1730813692.095622,13924,-159.0657958984375
1730813697.245326,14787,-161.75
1730813702.3657308,15644,-163.57142639160156
1730813707.0954134,16434,-164.06817626953125
1730813712.8769376,17402,-167.32608032226562
1730813716.9122112,18079,-166.7083282470703
1730813719.1136594,18447,-161.38999938964844
1730813721.292568,18811,-154.6199951171875
1730813724.412068,19335,-146.0
1730813727.6069896,19868,-143.66000366210938
1730813730.9977446,20338,-140.1199951171875
1730813735.040378,21021,-135.52000427246094
1730813738.4562643,21600,-130.11000061035156
1730813743.0562723,22374,-130.69000244140625
1730813746.592587,22971,-131.77999877929688
1730813751.4620724,23794,-132.2899932861328
1730813752.3741477,23948,-121.12000274658203
1730813756.0422735,24563,-114.08999633789062
1730813760.3039942,25278,-118.44000244140625
1730813761.405048,25463,-109.77999877929688
1730813767.6267166,26518,-112.45999908447266
1730813771.3162408,27139,-107.75
1730813776.7111063,28048,-112.30999755859375
1730813780.6528556,28711,-114.66000366210938
1730813784.6088974,29376,-121.7300033569336
1730813787.095502,29793,-115.77999877929688
1730813787.7356615,29903,-104.4800033569336
1730813792.7250683,30645,-101.91999816894531
1730813797.885269,31516,-103.02999877929688
1730813802.329451,32261,-99.8499984741211
1730813808.2337017,33255,-102.91999816894531
1730813812.1416698,33911,-106.76000213623047
1730813814.2894723,34270,-106.61000061035156
1730813817.9396636,34887,-108.8499984741211
1730813820.2665856,35280,-107.25
1730813823.8115005,35876,-108.91000366210938
1730813828.2638,36624,-109.01000213623047
1730813829.7421148,36872,-105.55000305175781
1730813833.9581444,37583,-104.72000122070312
1730813836.438375,38000,-102.11000061035156
1730813840.5695832,38696,-100.69000244140625
1730813841.7150307,38886,-100.94999694824219
1730813845.3937526,39506,-100.08999633789062
1730813847.9297924,39931,-96.48999786376953
1730813851.7521682,40476,-101.69999694824219
1730813856.3782125,41255,-96.66999816894531
1730813860.135991,41891,-97.0199966430664
1730813865.4096906,42777,-95.87999725341797
1730813866.857024,43021,-88.87000274658203
1730813869.7067792,43500,-86.55999755859375
1730813873.3414636,44112,-90.16999816894531
1730813875.733,44513,-94.48999786376953
1730813882.361941,45628,-100.83999633789062
1730813886.1986494,46270,-97.69999694824219
1730813887.1358905,46425,-88.93000030517578
1730813890.9432611,47068,-83.95999908447266
1730813892.9751678,47405,-79.41000366210938
1730813893.8107092,47547,-75.9800033569336
1730813900.943477,48747,-85.98999786376953
1730813906.3486996,49653,-93.48999786376953
1730813910.1273122,50190,-92.5999984741211
1730813914.3737822,50911,-92.37999725341797
1730813918.8463693,51661,-100.0199966430664
1730813921.1391926,52048,-95.0199966430664
1730813923.5149348,52445,-95.7300033569336
1730813926.6854508,52978,-92.48999786376953
1730813931.1434212,53728,-101.26000213623047
1730813935.800977,54511,-103.75
1730813941.2164083,55422,-111.27999877929688
1730813944.066154,55902,-110.27999877929688
1730813947.3809664,56463,-107.75
1730813949.7682245,56867,-104.87999725341797
1730813953.0733383,57423,-99.62000274658203
1730813957.9235036,58243,-108.19999694824219
1730813959.1943285,58457,-103.98999786376953
1730813965.9256632,59596,-109.70999908447266
1730813966.5058274,59692,-105.0999984741211
1730813969.0476944,60019,-94.0
1730813972.3804681,60579,-92.56999969482422
1730813974.6815004,60968,-96.62000274658203
1730813978.437574,61600,-97.56999969482422
1730813982.9774697,62362,-103.58000183105469
1730813986.37504,62936,-109.36000061035156
1730813990.898456,63699,-101.97000122070312
1730813993.2892818,64101,-94.26000213623047
1730813997.2008448,64763,-97.06999969482422
1730813999.3570025,65127,-93.30000305175781
1730814004.8134296,66047,-96.20999908447266
1730814007.1654239,66443,-96.30000305175781
1730814008.4895787,66664,-93.27999877929688
1730814013.8415263,67571,-99.88999938964844
1730814015.429534,67839,-92.0999984741211
1730814018.359545,68333,-87.8499984741211
1730814019.214382,68478,-76.26000213623047
1730814023.0543523,69126,-79.5
1730814025.8522623,69600,-78.33000183105469
1730814026.8491163,69766,-74.73999786376953
1730814029.8657568,70174,-73.05999755859375
1730814030.5844066,70295,-63.0
1730814034.6066115,70977,-70.25
1730814035.0213807,71045,-55.869998931884766
1730814035.7328305,71168,-56.189998626708984
1730814039.0813751,71734,-58.779998779296875
1730814040.6241562,71995,-54.08000183105469
1730814043.0709383,72406,-53.95000076293945
1730814048.071274,73252,-55.9900016784668
1730814053.2158697,74121,-56.0
1730814056.950787,74754,-57.70000076293945
1730814058.1422997,74953,-49.13999938964844
1730814061.8182309,75575,-52.75
1730814064.8871279,76095,-50.119998931884766
1730814069.387428,76853,-54.36000061035156
1730814072.1925864,77329,-47.54999923706055
1730814074.3204508,77686,-47.209999084472656
1730814076.4986148,78053,-49.83000183105469
1730814078.108098,78326,-39.459999084472656
1730814078.5624728,78401,-37.18000030517578
1730814079.6968231,78592,-32.939998626708984
1730814083.5891938,79251,-39.88999938964844
1730814085.917364,79644,-35.779998779296875
1730814088.9858644,80064,-35.290000915527344
1730814092.8022764,80705,-42.5099983215332
1730814094.0534227,80917,-39.290000915527344
1730814099.8173966,81891,-51.650001525878906
1730814102.3332846,82314,-48.0
1730814102.5276387,82346,-47.63999938964844
1730814103.810804,82562,-48.720001220703125
1730814106.6185908,83033,-47.77000045776367
1730814110.3105383,83660,-53.09000015258789
1730814114.1361926,84301,-57.0
1730814119.6207278,85227,-59.36000061035156
1730814124.1848865,85996,-59.31999969482422
1730814128.150207,86664,-59.41999816894531
