Wall time,Step,Value
1730816533.294822,1118,-324.25
1730816619.9742627,2210,-304.0
1730816671.2490764,2856,-254.6666717529297
1730816737.373562,3691,-243.375
1730816823.584609,4785,-258.8500061035156
1730816906.4681106,5838,-266.625
1730816991.7523665,6919,-273.71429443359375
1730817043.527439,7577,-259.0625
1730817122.2684357,8573,-262.6388854980469
1730817175.1193655,9243,-251.9499969482422
1730817206.5931988,9641,-233.47727966308594
1730817253.5104947,10226,-222.6041717529297
1730817303.4216006,10856,-216.78846740722656
1730817378.5066962,11808,-220.875
1730817409.9513826,12207,-209.5
1730817469.4900148,12961,-208.0
1730817564.1771703,14161,-218.19117736816406
1730817614.531237,14802,-214.4583282470703
1730817708.9825425,16002,-222.9736785888672
1730817803.5277176,17202,-230.5124969482422
1730817877.783076,18141,-230.86904907226562
1730817972.3317182,19341,-237.64772033691406
1730818005.0071814,19753,-229.47825622558594
1730818032.2058537,20090,-221.0520782470703
1730818055.6126044,20387,-211.7899932861328
1730818127.1138113,21293,-209.32000732421875
1730818221.6736717,22493,-213.02000427246094
1730818277.4724312,23201,-212.6300048828125
1730818316.2556505,23693,-207.2899932861328
1730818387.9385147,24601,-204.77999877929688
1730818429.5760822,25131,-196.17999267578125
1730818500.5126836,26029,-192.63999938964844
1730818551.622483,26677,-192.49000549316406
1730818628.4542572,27653,-191.17999267578125
1730818678.6198263,28288,-189.97000122070312
1730818731.6160047,28961,-194.52999877929688
1730818773.4687777,29492,-193.99000549316406
1730818845.6918116,30398,-198.36000061035156
1730818917.3710175,31307,-197.67999267578125
1730818954.7501397,31780,-198.32000732421875
1730818995.4558234,32297,-194.38999938964844
1730819020.546262,32615,-180.13999938964844
1730819076.3801382,33319,-180.97000122070312
1730819158.3620095,34352,-177.88999938964844
1730819227.1211176,35223,-171.97999572753906
1730819298.982162,36130,-172.8699951171875
1730819350.310386,36779,-163.83999633789062
1730819399.480211,37400,-167.5399932861328
1730819471.1699045,38306,-176.85000610351562
1730819538.3817096,39155,-185.83999633789062
1730819604.763688,39994,-184.05999755859375
1730819638.588983,40416,-171.35000610351562
1730819679.5187647,40935,-169.00999450683594
1730819733.389994,41617,-172.72000122070312
1730819774.3712277,42136,-166.00999450683594
1730819830.654839,42852,-169.42999267578125
1730819880.1296952,43478,-166.16000366210938
1730819916.7959752,43943,-161.86000061035156
1730819966.5877705,44573,-157.60000610351562
1730820001.378979,45014,-155.05999755859375
1730820022.908365,45287,-147.83999633789062
1730820056.4968863,45714,-146.5500030517578
1730820093.629684,46184,-139.22000122070312
1730820126.0437949,46596,-131.0800018310547
1730820170.9168203,47164,-132.5800018310547
1730820242.3614466,48070,-139.58999633789062
1730820293.5015793,48718,-144.8000030517578
1730820374.7144034,49724,-149.52999877929688
1730820429.3983243,50379,-143.7899932861328
1730820474.914176,50922,-138.6999969482422
1730820511.678499,51358,-130.6699981689453
1730820518.5229094,51444,-121.5199966430664
1730820591.196625,52310,-124.7699966430664
1730820642.172458,52925,-118.98999786376953
1730820671.392356,53280,-110.93000030517578
1730820731.7020829,54002,-109.30999755859375
1730820799.0924346,54820,-115.37999725341797
1730820834.547802,55245,-114.04000091552734
1730820889.7753348,55910,-113.7699966430664
1730820930.7572088,56404,-113.37000274658203
1730820985.2649698,57055,-112.62000274658203
1730821056.6944492,57921,-115.56999969482422
1730821092.5124884,58347,-116.13999938964844
1730821131.0577545,58814,-112.8499984741211
1730821188.1491215,59497,-116.87999725341797
1730821222.973685,59925,-120.08999633789062
1730821300.1339803,60845,-127.27999877929688
1730821358.7667704,61587,-131.66000366210938
1730821420.5885923,62370,-137.52999877929688
1730821459.1576478,62858,-136.47999572753906
1730821495.1174948,63314,-128.7100067138672
1730821560.4372456,64143,-130.9199981689453
1730821624.276813,64952,-127.63999938964844
1730821668.641122,65517,-125.58000183105469
1730821697.9267807,65887,-123.25
1730821741.5875564,66444,-124.76000213623047
1730821806.5305033,67267,-136.0
1730821881.178743,68216,-137.99000549316406
1730821902.656994,68488,-132.6999969482422
1730821931.7022796,68858,-133.91000366210938
1730821981.066411,69486,-132.9199981689453
1730822071.0714827,70623,-137.82000732421875
1730822119.7082722,71239,-141.19000244140625
1730822191.195393,72149,-145.1999969482422
1730822234.893049,72703,-145.8000030517578
1730822297.2549002,73495,-146.39999389648438
1730822345.6459894,74111,-143.1999969482422
1730822396.8983388,74761,-146.08999633789062
1730822416.0373642,75004,-142.24000549316406
1730822457.0928535,75528,-139.33999633789062
1730822482.803414,75854,-136.86000061035156
1730822509.239695,76190,-127.5
1730822557.8505328,76809,-125.11000061035156
1730822629.368242,77716,-127.30999755859375
1730822687.0360038,78447,-130.38999938964844
1730822743.38482,79159,-133.5500030517578
1730822785.795705,79697,-128.8800048828125
1730822822.6944096,80157,-122.31999969482422
1730822890.0752816,81007,-126.87999725341797
1730822918.0586364,81363,-126.58999633789062
1730822950.300829,81771,-124.80000305175781
1730822989.1983075,82261,-119.80999755859375
1730823003.459059,82442,-107.0999984741211
1730823047.5281656,82988,-111.5
1730823118.5565064,83879,-119.06999969482422
1730823128.049071,83999,-110.31999969482422
1730823189.3290815,84775,-103.63999938964844
1730823247.7355955,85518,-105.30999755859375
1730823321.0210974,86446,-104.37999725341797
1730823388.01251,87296,-108.44000244140625
