Wall time,Step,Value
1731352419.1987982,1210,-0.25
1731352424.0947332,2334,0.0
1731352431.4432778,3853,0.25
1731352438.8352942,5278,0.4375
1731352446.8060088,6734,0.5
1731352456.227312,8313,0.8333333134651184
1731352466.00597,9941,1.0357142686843872
1731352475.286183,11461,1.125
1731352483.3086026,12789,1.0833333730697632
1731352491.8187659,14195,1.125
1731352502.7169802,15991,1.295454502105713
1731352510.9852555,17359,1.3125
1731352521.1513758,19005,1.365384578704834
1731352528.945796,20305,1.3571428060531616
1731352536.18112,21525,1.350000023841858
1731352542.3761988,22561,1.296875
1731352550.5680673,23939,1.308823585510254
1731352558.1458316,25215,1.2777777910232544
1731352565.9822311,26523,1.263157844543457
1731352574.3425632,27931,1.274999976158142
1731352581.9691038,29209,1.25
1731352589.9685779,30557,1.2386363744735718
1731352598.6715648,32021,1.2608696222305298
1731352607.9918795,33593,1.3125
1731352616.5259895,35029,1.3300000429153442
1731352623.9294546,36273,1.3700000047683716
1731352630.505451,37383,1.4199999570846558
1731352638.5792685,38745,1.4600000381469727
1731352645.9463885,39989,1.4600000381469727
1731352654.432745,41421,1.5099999904632568
1731352663.0076404,42866,1.4900000095367432
1731352669.8820677,44030,1.4299999475479126
1731352677.593556,45330,1.409999966621399
1731352685.2040236,46612,1.4700000286102295
1731352693.7281263,48042,1.5099999904632568
1731352700.8867767,49252,1.4199999570846558
1731352708.132997,50470,1.3899999856948853
1731352716.3368495,51855,1.409999966621399
1731352723.7031908,53099,1.409999966621399
1731352731.3630455,54389,1.3799999952316284
1731352739.0081778,55681,1.4199999570846558
1731352745.8413208,56837,1.399999976158142
1731352753.6906974,58163,1.4199999570846558
1731352761.23794,59437,1.440000057220459
1731352769.3358812,60803,1.4600000381469727
1731352776.537476,62021,1.4700000286102295
1731352784.612181,63385,1.4800000190734863
1731352792.9547434,64801,1.4800000190734863
1731352800.6174212,66099,1.4299999475479126
1731352808.0749936,67371,1.3899999856948853
1731352814.45208,68455,1.3799999952316284
1731352823.7087383,70023,1.3899999856948853
1731352831.7230203,71375,1.3799999952316284
1731352839.972737,72763,1.409999966621399
1731352845.934938,73771,1.3600000143051147
1731352853.6473162,75071,1.3600000143051147
1731352861.33829,76369,1.3700000047683716
1731352868.4311924,77567,1.3600000143051147
1731352877.0342612,79015,1.309999942779541
1731352883.9136393,80173,1.25
1731352889.6493304,81143,1.25
1731352897.5389118,82469,1.2599999904632568
1731352905.1484134,83749,1.1799999475479126
1731352911.0953364,84751,1.149999976158142
1731352918.7653441,86043,1.1799999475479126
1731352925.9277148,87246,1.149999976158142
1731352933.2510717,88486,1.1399999856948853
1731352940.6197147,89734,1.159999966621399
1731352948.0865848,90988,1.1200000047683716
1731352956.0598693,92334,1.090000033378601
1731352962.9694464,93500,1.0700000524520874
1731352971.437058,94922,1.100000023841858
1731352978.698498,96154,1.059999942779541
1731352986.9089534,97538,1.0499999523162842
1731352993.5979528,98656,1.059999942779541
1731353000.8290527,99858,1.059999942779541
1731353010.4852564,101388,1.0700000524520874
1731353018.6607904,102764,1.0499999523162842
1731353026.4997733,104076,1.0299999713897705
1731353034.542736,105428,1.0399999618530273
1731353042.1839273,106700,1.0
1731353049.3295918,107892,1.0
1731353056.544675,109102,1.0099999904632568
1731353063.8137646,110316,1.0
1731353071.299057,111576,1.0099999904632568
1731353080.002918,113038,1.0299999713897705
1731353089.150266,114584,1.0700000524520874
1731353097.3059404,115952,1.1200000047683716
1731353105.7280939,117370,1.149999976158142
1731353112.5770378,118520,1.1299999952316284
1731353120.9869962,119926,1.190000057220459
1731353128.385764,121170,1.1799999475479126
1731353135.4010801,122352,1.1699999570846558
1731353142.502993,123542,1.1699999570846558
1731353151.9076865,125123,1.190000057220459
1731353158.5832725,126245,1.2400000095367432
1731353165.6783803,127443,1.2000000476837158
1731353172.5441425,128599,1.2000000476837158
1731353181.4651723,130105,1.25
1731353188.5136428,131303,1.25
1731353194.1913276,132261,1.25
1731353201.135062,133431,1.2000000476837158
1731353209.4104288,134825,1.2200000286102295
1731353218.2499576,136305,1.2400000095367432
1731353226.007592,137611,1.2599999904632568
1731353235.2069607,139157,1.2999999523162842
1731353242.5099552,140383,1.2899999618530273
1731353252.3397691,142037,1.2999999523162842
1731353261.7124918,143611,1.399999976158142
1731353270.2641377,145055,1.4199999570846558
1731353278.4287608,146439,1.4199999570846558
1731353286.0389872,147723,1.3899999856948853
1731353293.976512,149061,1.3700000047683716
1731353301.606672,150305,1.350000023841858
1731353309.5683444,151561,1.3799999952316284
1731353318.438026,153007,1.3700000047683716
1731353327.4181318,154519,1.4600000381469727
1731353335.196039,155831,1.4500000476837158
1731353343.232171,157191,1.5
1731353350.5589807,158429,1.4700000286102295
1731353358.124525,159705,1.440000057220459
1731353364.270567,160745,1.409999966621399
1731353372.2399027,162039,1.4299999475479126
1731353379.7451627,163295,1.3899999856948853
1731353388.203077,164707,1.3899999856948853
1731353397.9157007,166337,1.440000057220459
1731353406.7270472,167821,1.5
1731353414.4350805,169119,1.5099999904632568
1731353423.0845432,170573,1.5
1731353432.198462,172101,1.5700000524520874
