Wall time,Step,Value
1732653719.0817966,98304,-12.606088638305664
1732653753.3133702,196608,-13.234488487243652
1732653788.2582364,294912,-13.106788635253906
1732653823.4840515,393216,-11.111990928649902
1732653860.2403724,491520,-10.244190216064453
1732653894.7977326,589824,-8.6727933883667
1732653929.0808842,688128,-8.620792388916016
1732653963.7002602,786432,-6.452395439147949
1732653998.2537026,884736,-6.300795078277588
1732654033.0419843,983040,-5.936695098876953
1732654068.1112604,1081344,-4.968196392059326
1732654102.7392542,1179648,-4.99099588394165
1732654137.529186,1277952,-4.010797023773193
1732654172.4807174,1376256,-4.376596450805664
1732654207.4416006,1474560,-3.747196912765503
1732654242.316745,1572864,-3.72529673576355
1732654277.4219425,1671168,-3.362497568130493
1732654312.471857,1769472,-3.3087973594665527
1732654347.6050005,1867776,-3.2132973670959473
1732654382.298888,1966080,-3.569997549057007
1732654417.1981602,2064384,-3.6227972507476807
1732654452.3255928,2162688,-3.11649751663208
1732654487.258198,2260992,-4.1306962966918945
1732654522.4167144,2359296,-4.055996894836426
1732654557.5746183,2457600,-3.2991974353790283
1732654592.7015452,2555904,-3.950096845626831
1732654627.9165714,2654208,-3.283596992492676
1732654663.2317898,2752512,-3.676196813583374
1732654698.451854,2850816,-3.636396884918213
1732654733.5173635,2949120,-3.044997453689575
1732654768.4309552,3047424,-4.212396621704102
1732654803.4284534,3145728,-2.9064977169036865
1732654839.0703506,3244032,-2.975597620010376
1732654874.7609012,3342336,-4.310596466064453
1732654909.7668009,3440640,-3.0551974773406982
1732654945.2847488,3538944,-2.8323974609375
1732654981.7252698,3637248,-2.9300975799560547
1732655017.2118533,3735552,-2.1950979232788086
1732655052.624541,3833856,-3.670497179031372
1732655087.5574918,3932160,-3.456197500228882
1732655123.7628856,4030464,-3.7594971656799316
1732655160.389495,4128768,-3.4372971057891846
1732655195.292811,4227072,-3.4124972820281982
1732655230.419116,4325376,-2.825997829437256
1732655265.4490685,4423680,-2.7684977054595947
1732655300.7916307,4521984,-2.712898015975952
1732655335.9645576,4620288,-3.0839972496032715
1732655370.827358,4718592,-3.770297050476074
1732655406.0630257,4816896,-2.410098075866699
1732655441.263048,4915200,-3.5624969005584717
1732655476.2191055,5013504,-4.779996395111084
1732655514.1008909,5111808,-3.016197443008423
1732655550.4867182,5210112,-4.184496879577637
1732655585.6131756,5308416,-3.3323974609375
1732655620.7714937,5406720,-3.65999698638916
1732655656.032397,5505024,-3.1288976669311523
1732655691.3770516,5603328,-3.5114974975585938
1732655726.8088756,5701632,-2.850097417831421
1732655761.7811933,5799936,-2.876197576522827
1732655796.883875,5898240,-2.3945977687835693
