Wall time,Step,Value
1732688438.7664535,98304,-13.800188064575195
1732688472.508986,196608,-13.280488014221191
1732688506.0467033,294912,-13.522387504577637
1732688539.6859431,393216,-12.414690017700195
1732688573.394826,491520,-12.608089447021484
1732688607.034646,589824,-11.55398941040039
1732688640.6559842,688128,-9.792291641235352
1732688674.4423811,786432,-10.388191223144531
1732688708.3893921,884736,-8.845492362976074
1732688744.1569812,983040,-6.801594257354736
1732688778.6424441,1081344,-6.294795036315918
1732688812.9058523,1179648,-6.695194721221924
1732688847.4562938,1277952,-6.2831950187683105
1732688881.893627,1376256,-6.500194549560547
1732688916.3379872,1474560,-6.9929938316345215
1732688950.9593632,1572864,-5.409696102142334
1732688985.3859556,1671168,-7.080094814300537
1732689019.9839294,1769472,-5.883995532989502
1732689054.5070827,1867776,-6.303094863891602
1732689088.9940681,1966080,-7.991693496704102
1732689123.6577342,2064384,-8.11909294128418
1732689158.2484064,2162688,-6.3021955490112305
1732689192.935034,2260992,-6.952493667602539
1732689227.7636824,2359296,-7.050194263458252
1732689262.5514243,2457600,-5.938295364379883
1732689297.3322299,2555904,-7.5724945068359375
1732689332.0132089,2654208,-8.7485933303833
1732689366.738426,2752512,-7.857093334197998
1732689401.6190803,2850816,-7.946993350982666
1732689436.506166,2949120,-7.672094345092773
1732689471.3083997,3047424,-7.376193046569824
1732689505.9407706,3145728,-6.699894905090332
1732689540.6595666,3244032,-8.098194122314453
1732689575.1361039,3342336,-8.736092567443848
1732689609.7388928,3440640,-7.4264936447143555
1732689645.897494,3538944,-6.769994735717773
1732689681.319825,3637248,-7.624493598937988
1732689716.5284562,3735552,-7.794693470001221
1732689751.3751166,3833856,-7.714893817901611
1732689786.080921,3932160,-8.664393424987793
1732689821.0741,4030464,-8.01439380645752
1732689855.8609443,4128768,-7.408994197845459
1732689890.7478669,4227072,-7.658693790435791
1732689925.554624,4325376,-8.586692810058594
1732689960.4341562,4423680,-8.724991798400879
1732689995.4290037,4521984,-8.741593360900879
1732690030.220823,4620288,-8.522492408752441
1732690065.1874588,4718592,-8.583693504333496
1732690100.0339897,4816896,-7.047394275665283
1732690134.7635612,4915200,-7.6602935791015625
1732690169.4823182,5013504,-8.51429271697998
1732690204.388698,5111808,-8.65719223022461
1732690239.50028,5210112,-7.272493839263916
1732690276.0187132,5308416,-8.022494316101074
1732690310.9381945,5406720,-7.5172929763793945
1732690345.6620054,5505024,-7.746993541717529
1732690380.7344007,5603328,-7.60909366607666
1732690415.7627182,5701632,-8.400691986083984
1732690451.4785779,5799936,-8.3248929977417
1732690486.5125754,5898240,-7.714194297790527
