Wall time,Step,Value
1732647993.8860016,98304,-13.135987281799316
1732648030.244642,196608,-13.092188835144043
1732648065.0808597,294912,-12.898089408874512
1732648099.554727,393216,-11.882089614868164
1732648134.082855,491520,-11.106689453125
1732648168.6311872,589824,-9.690991401672363
1732648203.2022233,688128,-8.354392051696777
1732648237.678351,786432,-7.542094707489014
1732648272.3051865,884736,-7.098894119262695
1732648307.2123954,983040,-8.144793510437012
1732648341.9880772,1081344,-6.524294853210449
1732648376.613046,1179648,-6.001594066619873
1732648411.289813,1277952,-5.533895492553711
1732648447.1417825,1376256,-6.006094455718994
1732648483.9682953,1474560,-5.885395526885986
1732648518.6510398,1572864,-6.773694038391113
1732648553.4022722,1671168,-7.201494216918945
1732648587.8457758,1769472,-6.925994396209717
1732648622.585269,1867776,-5.937494277954102
1732648657.5644221,1966080,-6.847194194793701
1732648694.0437517,2064384,-6.449394702911377
1732648731.063945,2162688,-4.961395740509033
1732648766.6548092,2260992,-6.010095119476318
1732648801.6265104,2359296,-6.509494781494141
1732648836.4538198,2457600,-7.059194564819336
1732648871.1621082,2555904,-5.973394870758057
1732648906.0896766,2654208,-5.320595741271973
1732648941.0512123,2752512,-5.8426947593688965
1732648975.9908562,2850816,-5.673195838928223
1732649013.4931948,2949120,-6.630094528198242
1732649049.6992557,3047424,-4.9914960861206055
1732649084.7983875,3145728,-5.592795372009277
1732649120.568775,3244032,-5.832096099853516
1732649155.2582686,3342336,-4.8169965744018555
1732649191.4810984,3440640,-5.751894950866699
1732649227.6204727,3538944,-5.409196376800537
1732649263.0027537,3637248,-5.025496006011963
1732649297.80412,3735552,-4.45539665222168
1732649332.6043983,3833856,-4.917695999145508
1732649367.284639,3932160,-5.224895477294922
1732649401.933183,4030464,-4.954895973205566
1732649436.497385,4128768,-4.7262959480285645
1732649470.978718,4227072,-6.203595161437988
1732649505.3204756,4325376,-3.6083970069885254
1732649539.7462976,4423680,-4.829796314239502
1732649574.2364132,4521984,-5.257596015930176
1732649608.593125,4620288,-3.8241968154907227
1732649643.157968,4718592,-5.446695327758789
1732649677.8009367,4816896,-3.760896921157837
1732649712.3761058,4915200,-5.947995185852051
1732649746.5983307,5013504,-4.1496968269348145
1732649780.9618273,5111808,-4.774196624755859
1732649815.542202,5210112,-4.919496536254883
1732649849.9635482,5308416,-4.390596389770508
1732649884.7901347,5406720,-5.221895694732666
1732649920.7424264,5505024,-5.349096298217773
1732649955.3382583,5603328,-4.819696426391602
1732649989.8314137,5701632,-6.08999490737915
1732650025.9614441,5799936,-5.8145952224731445
1732650061.5909948,5898240,-4.184997081756592
