Wall time,Step,Value
1732650836.0249605,98304,-13.062087059020996
1732650871.4666793,196608,-13.838288307189941
1732650906.8682187,294912,-13.383688926696777
1732650941.0406492,393216,-12.867487907409668
1732650975.2255921,491520,-12.368690490722656
1732651009.3933709,589824,-12.134089469909668
1732651045.5377026,688128,-11.744489669799805
1732651081.4275613,786432,-10.463491439819336
1732651117.186729,884736,-10.146690368652344
1732651153.0058424,983040,-10.59619140625
1732651187.1315062,1081344,-10.41089153289795
1732651221.2334461,1179648,-10.090190887451172
1732651255.496816,1277952,-9.764391899108887
1732651291.407849,1376256,-9.21219253540039
1732651325.6439097,1474560,-9.326592445373535
1732651360.68769,1572864,-9.032092094421387
1732651395.2414124,1671168,-7.452793598175049
1732651432.3912122,1769472,-9.428692817687988
1732651467.6137977,1867776,-9.803391456604004
1732651501.7681055,1966080,-7.9052934646606445
1732651536.0359676,2064384,-8.051192283630371
1732651570.1783447,2162688,-6.646694183349609
1732651604.20335,2260992,-7.668593883514404
1732651638.5046103,2359296,-9.50879192352295
1732651672.4909403,2457600,-8.862092018127441
1732651706.6210475,2555904,-9.36079216003418
1732651740.9286985,2654208,-8.137892723083496
1732651776.0899134,2752512,-7.350093841552734
1732651809.9909947,2850816,-9.446292877197266
1732651844.0249836,2949120,-8.237393379211426
1732651878.1758952,3047424,-7.591393947601318
1732651912.0182226,3145728,-8.520092964172363
1732651945.967633,3244032,-7.385993480682373
1732651979.9201238,3342336,-8.133293151855469
1732652013.8392687,3440640,-8.720992088317871
1732652047.803536,3538944,-8.309292793273926
1732652083.2567134,3637248,-7.760493755340576
1732652119.194982,3735552,-7.7780938148498535
1732652156.2328978,3833856,-8.850994110107422
1732652192.00501,3932160,-8.230693817138672
1732652227.1119664,4030464,-8.768592834472656
1732652261.1661289,4128768,-8.534893035888672
1732652295.2741153,4227072,-7.996492862701416
1732652329.3127506,4325376,-7.658993721008301
1732652363.299547,4423680,-8.09619426727295
1732652397.3014886,4521984,-9.086992263793945
1732652431.4619513,4620288,-8.643993377685547
1732652465.5571601,4718592,-8.279092788696289
1732652499.5719752,4816896,-7.453994274139404
1732652533.720742,4915200,-7.329794406890869
1732652567.6540465,5013504,-7.831393241882324
1732652601.8043053,5111808,-7.697694301605225
1732652635.8614426,5210112,-8.789691925048828
1732652669.9794028,5308416,-7.199193954467773
1732652704.0609367,5406720,-8.226593971252441
1732652739.1775331,5505024,-8.567791938781738
1732652775.2835445,5603328,-8.252793312072754
1732652811.3440557,5701632,-8.643492698669434
1732652846.39152,5799936,-8.804792404174805
1732652881.9754066,5898240,-8.135592460632324
